,Date,DailyOrHourly,VehicleType,Hour,Volume,DelayPersonHours,DelayCost,DelayVehicleHours,VMT
0,2019-01-01,daily,commercial,,33223.651442,0.970957,48.052668,0.970957,25492.527452
1,2019-01-01,daily,passenger,,268809.543484,13.355074,255.631825,7.855926,206257.722113
2,2019-01-01,hourly,commercial,0.0,339.02,0.0,0.0,0.0,259.087684
3,2019-01-01,hourly,passenger,0.0,2742.98,0.0,0.0,0.0,2096.254896
4,2019-01-01,hourly,commercial,1.0,299.86,0.0,0.0,0.0,229.21478
5,2019-01-01,hourly,passenger,1.0,2426.14,0.0,0.0,0.0,1854.555948
6,2019-01-01,hourly,commercial,2.0,289.96,0.0,0.0,0.0,221.645403
7,2019-01-01,hourly,passenger,2.0,2346.04,0.0,0.0,0.0,1793.312803
8,2019-01-01,hourly,commercial,3.0,347.16,0.0,0.0,0.0,263.745692
9,2019-01-01,hourly,passenger,3.0,2808.84,0.0,0.0,0.0,2133.942415
10,2019-01-01,hourly,commercial,4.0,570.24,0.0,0.0,0.0,429.445469
11,2019-01-01,hourly,passenger,4.0,4613.76,0.0,0.0,0.0,3474.604249
12,2019-01-01,hourly,commercial,5.0,1068.1,0.0,0.0,0.0,809.020491
13,2019-01-01,hourly,passenger,5.0,8641.9,0.0,0.0,0.0,6545.711249
14,2019-01-01,hourly,commercial,6.0,1789.441801,0.0,0.0,0.0,1373.801899
15,2019-01-01,hourly,passenger,6.0,14478.210938,0.0,0.0,0.0,11115.306277
16,2019-01-01,hourly,commercial,7.0,2102.32,0.0,0.0,0.0,1625.105359
17,2019-01-01,hourly,passenger,7.0,17009.68,0.0,0.0,0.0,13148.579722
18,2019-01-01,hourly,commercial,8.0,1898.49,0.0,0.0,0.0,1464.943192
19,2019-01-01,hourly,passenger,8.0,15360.51,0.0,0.0,0.0,11852.722188
20,2019-01-01,hourly,commercial,9.0,1731.18,0.0,0.0,0.0,1332.121186
21,2019-01-01,hourly,passenger,9.0,14006.82,0.0,0.0,0.0,10778.07141
22,2019-01-01,hourly,commercial,10.0,1736.35,0.0,0.0,0.0,1335.672252
23,2019-01-01,hourly,passenger,10.0,14048.65,0.0,0.0,0.0,10806.802763
24,2019-01-01,hourly,commercial,11.0,1850.97,0.0,0.0,0.0,1423.63576
25,2019-01-01,hourly,passenger,11.0,14976.03,0.0,0.0,0.0,11518.507517
