,Date,DailyOrHourly,VehicleType,Hour,Volume,DelayPersonHours,DelayCost,DelayVehicleHours,VMT
0,2021-01-01,daily,commercial,,33219.874116,0.0,0.0,0.0,25502.450222
1,2021-01-01,daily,passenger,,298978.867046,0.0,0.0,0.0,229522.051994
2,2021-01-01,hourly,commercial,0.0,322.6,0.0,0.0,0.0,246.539983
3,2021-01-01,hourly,passenger,0.0,2903.4,0.0,0.0,0.0,2218.859846
4,2021-01-01,hourly,commercial,1.0,272.8,0.0,0.0,0.0,208.656014
5,2021-01-01,hourly,passenger,1.0,2455.2,0.0,0.0,0.0,1877.904127
6,2021-01-01,hourly,commercial,2.0,264.3,0.0,0.0,0.0,202.204469
7,2021-01-01,hourly,passenger,2.0,2378.7,0.0,0.0,0.0,1819.840225
8,2021-01-01,hourly,commercial,3.0,314.4,0.0,0.0,0.0,239.090376
9,2021-01-01,hourly,passenger,3.0,2829.6,0.0,0.0,0.0,2151.813385
10,2021-01-01,hourly,commercial,4.0,518.9,0.0,0.0,0.0,391.55265
11,2021-01-01,hourly,passenger,4.0,4670.1,0.0,0.0,0.0,3523.973846
12,2021-01-01,hourly,commercial,5.0,960.9,0.0,0.0,0.0,728.155173
13,2021-01-01,hourly,passenger,5.0,8648.1,0.0,0.0,0.0,6553.396558
14,2021-01-01,hourly,commercial,6.0,1607.802895,0.0,0.0,0.0,1234.058733
15,2021-01-01,hourly,passenger,6.0,14470.226051,0.0,0.0,0.0,11106.528596
16,2021-01-01,hourly,commercial,7.0,1878.679718,0.0,0.0,0.0,1446.502187
17,2021-01-01,hourly,passenger,7.0,16908.117464,0.0,0.0,0.0,13018.519687
18,2021-01-01,hourly,commercial,8.0,1783.419507,0.0,0.0,0.0,1374.75137
19,2021-01-01,hourly,passenger,8.0,16050.775562,0.0,0.0,0.0,12372.76233
20,2021-01-01,hourly,commercial,9.0,1714.598773,0.0,0.0,0.0,1320.277069
21,2021-01-01,hourly,passenger,9.0,15431.388953,0.0,0.0,0.0,11882.493617
22,2021-01-01,hourly,commercial,10.0,1765.686452,0.0,0.0,0.0,1357.566468
23,2021-01-01,hourly,passenger,10.0,15891.178064,0.0,0.0,0.0,12218.098212
24,2021-01-01,hourly,commercial,11.0,1901.7,0.0,0.0,0.0,1463.922342
