,Date,DailyOrHourly,VehicleType,Hour,Volume,DelayPersonHours,DelayCost,DelayVehicleHours,VMT
0,2022-01-01,daily,commercial,,28574.414289,0.0,0.0,0.0,21946.965566
1,2022-01-01,daily,passenger,,257169.728599,0.0,0.0,0.0,197522.690091
2,2022-01-01,hourly,commercial,0.0,365.6,0.0,0.0,0.0,279.28061
3,2022-01-01,hourly,passenger,0.0,3290.4,0.0,0.0,0.0,2513.525491
4,2022-01-01,hourly,commercial,1.0,267.1,0.0,0.0,0.0,204.543258
5,2022-01-01,hourly,passenger,1.0,2403.9,0.0,0.0,0.0,1840.889326
6,2022-01-01,hourly,commercial,2.0,213.3,0.0,0.0,0.0,163.702388
7,2022-01-01,hourly,passenger,2.0,1919.7,0.0,0.0,0.0,1473.321495
8,2022-01-01,hourly,commercial,3.0,209.7,0.0,0.0,0.0,160.91287
9,2022-01-01,hourly,passenger,3.0,1887.3,0.0,0.0,0.0,1448.215831
10,2022-01-01,hourly,commercial,4.0,280.7,0.0,0.0,0.0,213.853518
11,2022-01-01,hourly,passenger,4.0,2526.3,0.0,0.0,0.0,1924.681659
12,2022-01-01,hourly,commercial,5.0,423.3,0.0,0.0,0.0,322.975955
13,2022-01-01,hourly,passenger,5.0,3809.7,0.0,0.0,0.0,2906.783595
14,2022-01-01,hourly,commercial,6.0,672.3,0.0,0.0,0.0,515.944896
15,2022-01-01,hourly,passenger,6.0,6050.7,0.0,0.0,0.0,4643.504061
16,2022-01-01,hourly,commercial,7.0,991.9,0.0,0.0,0.0,764.62344
17,2022-01-01,hourly,passenger,7.0,8927.1,0.0,0.0,0.0,6881.61096
18,2022-01-01,hourly,commercial,8.0,1324.6,0.0,0.0,0.0,1022.825206
19,2022-01-01,hourly,passenger,8.0,11921.4,0.0,0.0,0.0,9205.426854
20,2022-01-01,hourly,commercial,9.0,1623.2,0.0,0.0,0.0,1253.759613
21,2022-01-01,hourly,passenger,9.0,14608.8,0.0,0.0,0.0,11283.836516
