,Date,DailyOrHourly,VehicleType,Hour,Volume,DelayPersonHours,DelayCost,DelayVehicleHours,VMT
0,2024-02-01,daily,commercial,,32017.486445,12.43486,1249.579054,12.43486,24527.083839
1,2024-02-01,daily,passenger,,288157.378006,190.253354,2004.375039,111.913738,220743.754548
2,2024-02-01,hourly,commercial,0.0,322.3,0.0,0.0,0.0,246.17687
3,2024-02-01,hourly,passenger,0.0,2900.7,0.0,0.0,0.0,2215.59183
4,2024-02-01,hourly,commercial,1.0,274.3,0.0,0.0,0.0,209.862222
5,2024-02-01,hourly,passenger,1.0,2468.7,0.0,0.0,0.0,1888.760002
6,2024-02-01,hourly,commercial,2.0,267.6,0.0,0.0,0.0,204.623295
7,2024-02-01,hourly,passenger,2.0,2408.4,0.0,0.0,0.0,1841.60966
8,2024-02-01,hourly,commercial,3.0,325.7,0.0,0.0,0.0,247.376054
9,2024-02-01,hourly,passenger,3.0,2931.3,0.0,0.0,0.0,2226.384489
10,2024-02-01,hourly,commercial,4.0,551.9,0.0,0.0,0.0,415.632112
11,2024-02-01,hourly,passenger,4.0,4967.1,0.0,0.0,0.0,3740.689013
12,2024-02-01,hourly,commercial,5.0,1040.9,0.0,0.0,0.0,788.320449
13,2024-02-01,hourly,passenger,5.0,9368.1,0.0,0.0,0.0,7094.884037
14,2024-02-01,hourly,commercial,6.0,1751.9,0.0,0.0,0.0,1346.216624
15,2024-02-01,hourly,passenger,6.0,15767.1,0.0,0.0,0.0,12115.949614
16,2024-02-01,hourly,commercial,7.0,2018.753701,7.996068,803.524834,7.996068,1554.194911
17,2024-02-01,hourly,passenger,7.0,18168.783311,122.339834,1288.886137,71.964608,13987.754196
18,2024-02-01,hourly,commercial,8.0,1860.064944,4.438792,446.05422,4.438792,1433.313454
19,2024-02-01,hourly,passenger,8.0,16740.5845,67.913519,715.488902,39.949129,12899.82109
20,2024-02-01,hourly,commercial,9.0,1702.60788,0.0,0.0,0.0,1308.331921
21,2024-02-01,hourly,passenger,9.0,15323.47092,0.0,0.0,0.0,11774.98729
22,2024-02-01,hourly,commercial,10.0,1713.993488,0.0,0.0,0.0,1316.585797
23,2024-02-01,hourly,passenger,10.0,15425.941396,0.0,0.0,0.0,11849.272177
24,2024-02-01,hourly,commercial,11.0,1794.323239,0.0,0.0,0.0,1376.200936
25,2024-02-01,hourly,passenger,11.0,16148.909154,0.0,0.0,0.0,12385.808422
26,2024-02-01,hourly,commercial,12.0,1849.365065,0.0,0.0,0.0,1419.781588
27,2024-02-01,hourly,passenger,12.0,16644.285585,0.0,0.0,0.0,12778.034289
28,2024-02-01,hourly,commercial,13.0,1853.368124,0.0,0.0,0.0,1418.716428
29,2024-02-01,hourly,passenger,13.0,16680.313118,0.0,0.0,0.0,12768.447852
30,2024-02-01,hourly,commercial,14.0,1962.08594,0.0,0.0,0.0,1500.826696
31,2024-02-01,hourly,passenger,14.0,17658.773464,0.0,0.0,0.0,13507.44026
32,2024-02-01,hourly,commercial,15.0,2091.946541,0.0,0.0,0.0,1601.641608
33,2024-02-01,hourly,passenger,15.0,18827.518872,0.0,0.0,0.0,14414.774468
34,2024-02-01,hourly,commercial,16.0,2126.618078,0.0,0.0,0.0,1625.041557
35,2024-02-01,hourly,passenger,16.0,19139.562704,0.0,0.0,0.0,14625.37401
36,2024-02-01,hourly,commercial,17.0,2068.802215,0.0,0.0,0.0,1586.731726
37,2024-02-01,hourly,passenger,17.0,18619.219937,0.0,0.0,0.0,14280.58553
38,2024-02-01,hourly,commercial,18.0,1740.657227,0.0,0.0,0.0,1337.629449
39,2024-02-01,hourly,passenger,18.0,15665.915043,0.0,0.0,0.0,12038.665038
40,2024-02-01,hourly,commercial,19.0,1451.1,0.0,0.0,0.0,1111.963171
41,2024-02-01,hourly,passenger,19.0,13059.9,0.0,0.0,0.0,10007.668541
42,2024-02-01,hourly,commercial,20.0,1204.3,0.0,0.0,0.0,920.031255
43,2024-02-01,hourly,passenger,20.0,10838.7,0.0,0.0,0.0,8280.281291
44,2024-02-01,hourly,commercial,21.0,929.3,0.0,0.0,0.0,708.265236
45,2024-02-01,hourly,passenger,21.0,8363.7,0.0,0.0,0.0,6374.387121
46,2024-02-01,hourly,commercial,22.0,664.1,0.0,0.0,0.0,505.502139
47,2024-02-01,hourly,passenger,22.0,5976.9,0.0,0.0,0.0,4549.519247
48,2024-02-01,hourly,commercial,23.0,451.5,0.0,0.0,0.0,344.118342
49,2024-02-01,hourly,passenger,23.0,4063.5,0.0,0.0,0.0,3097.065082
50,2024-02-02,daily,commercial,,33016.109549,0.0,0.0,0.0,25311.245498
51,2024-02-02,daily,passenger,,297144.98594,0.0,0.0,0.0,227801.209485
52,2024-02-02,hourly,commercial,0.0,322.6,0.0,0.0,0.0,246.539983
53,2024-02-02,hourly,passenger,0.0,2903.4,0.0,0.0,0.0,2218.859846
54,2024-02-02,hourly,commercial,1.0,272.8,0.0,0.0,0.0,208.656014
55,2024-02-02,hourly,passenger,1.0,2455.2,0.0,0.0,0.0,1877.904127
56,2024-02-02,hourly,commercial,2.0,264.3,0.0,0.0,0.0,202.204469
57,2024-02-02,hourly,passenger,2.0,2378.7,0.0,0.0,0.0,1819.840225
58,2024-02-02,hourly,commercial,3.0,314.4,0.0,0.0,0.0,239.090376
59,2024-02-02,hourly,passenger,3.0,2829.6,0.0,0.0,0.0,2151.813385
60,2024-02-02,hourly,commercial,4.0,518.9,0.0,0.0,0.0,391.55265
61,2024-02-02,hourly,passenger,4.0,4670.1,0.0,0.0,0.0,3523.973846
62,2024-02-02,hourly,commercial,5.0,960.9,0.0,0.0,0.0,728.155173
63,2024-02-02,hourly,passenger,5.0,8648.1,0.0,0.0,0.0,6553.396558
64,2024-02-02,hourly,commercial,6.0,1616.7,0.0,0.0,0.0,1242.40743
65,2024-02-02,hourly,passenger,6.0,14550.3,0.0,0.0,0.0,11181.666866
66,2024-02-02,hourly,commercial,7.0,1882.625741,0.0,0.0,0.0,1450.204981
67,2024-02-02,hourly,passenger,7.0,16943.63167,0.0,0.0,0.0,13051.844833
68,2024-02-02,hourly,commercial,8.0,1785.475035,0.0,0.0,0.0,1376.680197
69,2024-02-02,hourly,passenger,8.0,16069.275314,0.0,0.0,0.0,12390.121775
70,2024-02-02,hourly,commercial,9.0,1707.496513,0.0,0.0,0.0,1313.612585
71,2024-02-02,hourly,passenger,9.0,15367.468617,0.0,0.0,0.0,11822.513267
72,2024-02-02,hourly,commercial,10.0,1758.873392,0.0,0.0,0.0,1351.173359
73,2024-02-02,hourly,passenger,10.0,15829.860532,0.0,0.0,0.0,12160.560231
74,2024-02-02,hourly,commercial,11.0,1892.477043,0.0,0.0,0.0,1455.267879
75,2024-02-02,hourly,passenger,11.0,17032.293388,0.0,0.0,0.0,13097.410911
76,2024-02-02,hourly,commercial,12.0,1941.918503,0.0,0.0,0.0,1489.167138
77,2024-02-02,hourly,passenger,12.0,17477.266523,0.0,0.0,0.0,13402.50424
78,2024-02-02,hourly,commercial,13.0,1975.758912,0.0,0.0,0.0,1512.79521
79,2024-02-02,hourly,passenger,13.0,17781.830204,0.0,0.0,0.0,13615.156893
