,Date,DailyOrHourly,VehicleType,Hour,Volume,DelayPersonHours,DelayCost,DelayVehicleHours,VMT
0,2024-02-09,daily,commercial,,32902.317677,0.0,0.0,0.0,25204.467644
1,2024-02-09,daily,passenger,,296120.859093,0.0,0.0,0.0,226840.208793
2,2024-02-09,hourly,commercial,0.0,322.6,0.0,0.0,0.0,246.539983
3,2024-02-09,hourly,passenger,0.0,2903.4,0.0,0.0,0.0,2218.859846
4,2024-02-09,hourly,commercial,1.0,272.8,0.0,0.0,0.0,208.656014
5,2024-02-09,hourly,passenger,1.0,2455.2,0.0,0.0,0.0,1877.904127
6,2024-02-09,hourly,commercial,2.0,264.3,0.0,0.0,0.0,202.204469
7,2024-02-09,hourly,passenger,2.0,2378.7,0.0,0.0,0.0,1819.840225
8,2024-02-09,hourly,commercial,3.0,314.4,0.0,0.0,0.0,239.090376
9,2024-02-09,hourly,passenger,3.0,2829.6,0.0,0.0,0.0,2151.813385
10,2024-02-09,hourly,commercial,4.0,518.9,0.0,0.0,0.0,391.55265
11,2024-02-09,hourly,passenger,4.0,4670.1,0.0,0.0,0.0,3523.973846
12,2024-02-09,hourly,commercial,5.0,960.9,0.0,0.0,0.0,728.155173
13,2024-02-09,hourly,passenger,5.0,8648.1,0.0,0.0,0.0,6553.396558
14,2024-02-09,hourly,commercial,6.0,1616.7,0.0,0.0,0.0,1242.40743
15,2024-02-09,hourly,passenger,6.0,14550.3,0.0,0.0,0.0,11181.666866
16,2024-02-09,hourly,commercial,7.0,1865.060689,0.0,0.0,0.0,1433.722622
17,2024-02-09,hourly,passenger,7.0,16785.546201,0.0,0.0,0.0,12903.503595
18,2024-02-09,hourly,commercial,8.0,1779.614212,0.0,0.0,0.0,1371.18063
19,2024-02-09,hourly,passenger,8.0,16016.527911,0.0,0.0,0.0,12340.62567
20,2024-02-09,hourly,commercial,9.0,1713.618235,0.0,0.0,0.0,1319.356971
21,2024-02-09,hourly,passenger,9.0,15422.564119,0.0,0.0,0.0,11874.212736
22,2024-02-09,hourly,commercial,10.0,1764.384235,0.0,0.0,0.0,1356.344519
23,2024-02-09,hourly,passenger,10.0,15879.458117,0.0,0.0,0.0,12207.100671
24,2024-02-09,hourly,commercial,11.0,1860.280238,0.0,0.0,0.0,1425.055653
25,2024-02-09,hourly,passenger,11.0,16742.522141,0.0,0.0,0.0,12825.500875
26,2024-02-09,hourly,commercial,12.0,1967.2,0.0,0.0,0.0,1512.890309
27,2024-02-09,hourly,passenger,12.0,17704.8,0.0,0.0,0.0,13616.012781
28,2024-02-09,hourly,commercial,13.0,1977.549872,0.0,0.0,0.0,1514.475777
29,2024-02-09,hourly,passenger,13.0,17797.948846,0.0,0.0,0.0,13630.281997
30,2024-02-09,hourly,commercial,14.0,2081.654369,0.0,0.0,0.0,1593.437036
