,Date,DailyOrHourly,VehicleType,Hour,Volume,DelayPersonHours,DelayCost,DelayVehicleHours,VMT
0,2024-03-03,daily,commercial,,24119.841008,0.0,0.0,0.0,18534.884337
1,2024-03-03,daily,passenger,,217078.569073,0.0,0.0,0.0,166813.959031
2,2024-03-03,hourly,commercial,0.0,399.9,0.0,0.0,0.0,304.926762
3,2024-03-03,hourly,passenger,0.0,3599.1,0.0,0.0,0.0,2744.340854
4,2024-03-03,hourly,commercial,1.0,275.7,0.0,0.0,0.0,210.72205
5,2024-03-03,hourly,passenger,1.0,2481.3,0.0,0.0,0.0,1896.498451
6,2024-03-03,hourly,commercial,2.0,198.4,0.0,0.0,0.0,152.546276
7,2024-03-03,hourly,passenger,2.0,1785.6,0.0,0.0,0.0,1372.916487
8,2024-03-03,hourly,commercial,3.0,181.7,0.0,0.0,0.0,140.056812
9,2024-03-03,hourly,passenger,3.0,1635.3,0.0,0.0,0.0,1260.511311
10,2024-03-03,hourly,commercial,4.0,206.7,0.0,0.0,0.0,158.89026
11,2024-03-03,hourly,passenger,4.0,1860.3,0.0,0.0,0.0,1430.012339
12,2024-03-03,hourly,commercial,5.0,280.3,0.0,0.0,0.0,215.356587
13,2024-03-03,hourly,passenger,5.0,2522.7,0.0,0.0,0.0,1938.209285
14,2024-03-03,hourly,commercial,6.0,426.1,0.0,0.0,0.0,328.184952
15,2024-03-03,hourly,passenger,6.0,3834.9,0.0,0.0,0.0,2953.664572
16,2024-03-03,hourly,commercial,7.0,660.3,0.0,0.0,0.0,509.942563
17,2024-03-03,hourly,passenger,7.0,5942.7,0.0,0.0,0.0,4589.483068
18,2024-03-03,hourly,commercial,8.0,986.9,0.0,0.0,0.0,763.157008
19,2024-03-03,hourly,passenger,8.0,8882.1,0.0,0.0,0.0,6868.413074
20,2024-03-03,hourly,commercial,9.0,1328.9,0.0,0.0,0.0,1027.23524
21,2024-03-03,hourly,passenger,9.0,11960.1,0.0,0.0,0.0,9245.117161
22,2024-03-03,hourly,commercial,10.0,1578.0,0.0,0.0,0.0,1219.016535
23,2024-03-03,hourly,passenger,10.0,14202.0,0.0,0.0,0.0,10971.148817
24,2024-03-03,hourly,commercial,11.0,1760.5,0.0,0.0,0.0,1358.471686
25,2024-03-03,hourly,passenger,11.0,15844.5,0.0,0.0,0.0,12226.245172
26,2024-03-03,hourly,commercial,12.0,1858.416905,0.0,0.0,0.0,1430.864092
27,2024-03-03,hourly,passenger,12.0,16725.752145,0.0,0.0,0.0,12877.776828
28,2024-03-03,hourly,commercial,13.0,1843.2,0.0,0.0,0.0,1417.923592
29,2024-03-03,hourly,passenger,13.0,16588.8,0.0,0.0,0.0,12761.312326
30,2024-03-03,hourly,commercial,14.0,1788.1,0.0,0.0,0.0,1374.699794
31,2024-03-03,hourly,passenger,14.0,16092.9,0.0,0.0,0.0,12372.298144
32,2024-03-03,hourly,commercial,15.0,1732.0,0.0,0.0,0.0,1331.585201
33,2024-03-03,hourly,passenger,15.0,15588.0,0.0,0.0,0.0,11984.266805
34,2024-03-03,hourly,commercial,16.0,1669.424103,0.0,0.0,0.0,1283.077112
35,2024-03-03,hourly,passenger,16.0,15024.816928,0.0,0.0,0.0,11547.69401
